"UniqueCarrier" "Origin" "Dest" "Month" "DayOfWeek" "hour" "prop_30" "prop_60" "prop_80" "Time_Delay"
"207" "WN" "HOU" "DAL" 7 4 18 0.208588957055215 0.0858895705521472 0 163
"208" "WN" "DAL" "HOU" 10 7 18 0.208333333333333 0.0885416666666667 0.00520833333333333 192
"209" "WN" "HOU" "DAL" 11 7 19 0.208333333333333 0.101190476190476 0.00595238095238095 168
"210" "UA" "SFO" "LAX" 5 5 18 0.208092485549133 0.0867052023121387 0.0115606936416185 173
"211" "WN" "HOU" "DAL" 6 5 16 0.208 0.104 0.016 250
"212" "AA" "DFW" "PHX" 1 7 0 0.207792207792208 0.11038961038961 0.00649350649350649 154
"213" "WN" "HOU" "DAL" 6 4 21 0.207792207792208 0.0649350649350649 0 154
"214" "WN" "HOU" "DAL" 9 5 17 0.207207207207207 0.0810810810810811 0 222
"215" "WN" "HOU" "DAL" 3 5 17 0.20704845814978 0.052863436123348 0.00881057268722467 227
"216" "AA" "ORD" "LGA" 6 7 20 0.206666666666667 0.113333333333333 0.00666666666666667 150
"217" "AA" "ORD" "LGA" 7 3 20 0.206451612903226 0.129032258064516 0.0193548387096774 155
"218" "UA" "LAX" "SFO" 8 5 11 0.206451612903226 0.0774193548387097 0 155
"219" "AA" "DFW" "MIA" 1 7 0 0.20625 0.0875 0 160
"220" "UA" "SFO" "LAX" 7 4 11 0.205298013245033 0.0794701986754967 0 151
"221" "WN" "HOU" "DAL" 7 3 17 0.205240174672489 0.104803493449782 0.0174672489082969 229
"222" "AA" "ORD" "LGA" 8 4 20 0.205128205128205 0.0705128205128205 0.0128205128205128 156
"223" "NW" "DTW" "MSP" 6 7 15 0.205128205128205 0.0871794871794872 0.0153846153846154 195
"224" "UA" "LAX" "SFO" 3 4 17 0.205128205128205 0.0897435897435897 0 156
"225" "AA" "ORD" "DFW" 3 7 18 0.203947368421053 0.0986842105263158 0.0131578947368421 152
"226" "AA" "ORD" "DFW" 6 4 18 0.203947368421053 0.0855263157894737 0 152
"227" "UA" "LAX" "SFO" 8 2 10 0.203821656050955 0.0828025477707006 0 157
"228" "UA" "SFO" "LAX" 1 4 18 0.203703703703704 0.117283950617284 0.0123456790123457 162
"229" "WN" "HOU" "DAL" 3 7 17 0.20353982300885 0.0619469026548673 0 226
"230" "WN" "DAL" "HOU" 9 5 18 0.203488372093023 0.0523255813953488 0 172
"231" "WN" "HOU" "DAL" 5 5 18 0.203488372093023 0.063953488372093 0.0116279069767442 172
"232" "AA" "ORD" "LGA" 12 3 0 0.203389830508475 0.112994350282486 0.0395480225988701 177
"233" "WN" "DAL" "HOU" 7 4 19 0.20253164556962 0.0569620253164557 0.0126582278481013 158
"234" "WN" "DAL" "HOU" 8 4 19 0.202380952380952 0.0654761904761905 0 168
"235" "WN" "HOU" "DAL" 10 4 18 0.202185792349727 0.0601092896174863 0 183
"236" "WN" "HOU" "DAL" 9 4 19 0.201298701298701 0.0714285714285714 0 154
"237" "WN" "DAL" "HOU" 7 5 19 0.20125786163522 0.0691823899371069 0 159
"238" "AA" "ORD" "LAX" 12 4 0 0.2 0.0971428571428571 0 175
"239" "AA" "ORD" "LGA" 8 1 20 0.2 0.0774193548387097 0 155
"240" "NW" "DTW" "MSP" 12 7 15 0.2 0.0947368421052632 0.0105263157894737 190
"241" "UA" "LAX" "SFO" 4 1 10 0.2 0.0733333333333333 0 150
"242" "WN" "HOU" "DAL" 2 7 19 0.2 0.0466666666666667 0 150
"243" "WN" "HOU" "DAL" 5 5 21 0.2 0.0466666666666667 0 150
"244" "WN" "HOU" "DAL" 6 7 15 0.2 0.0470588235294118 0 170
"245" "WN" "DAL" "HOU" 6 4 17 0.199095022624434 0.0542986425339367 0 221
"246" "WN" "HOU" "DAL" 2 4 17 0.199029126213592 0.0631067961165049 0 206
"247" "WN" "HOU" "DAL" 3 3 19 0.198795180722892 0.0481927710843374 0.0120481927710843 166
"248" "WN" "HOU" "DAL" 2 5 15 0.198757763975155 0.0496894409937888 0 161
"249" "UA" "SFO" "LAX" 8 1 11 0.198717948717949 0.0641025641025641 0 156
"250" "UA" "LAX" "SFO" 8 3 11 0.198675496688742 0.0728476821192053 0.00662251655629139 151
"251" "UA" "LAX" "SFO" 11 4 11 0.198675496688742 0.0728476821192053 0.00662251655629139 151
"252" "UA" "SFO" "LAX" 8 2 11 0.198675496688742 0.0993377483443709 0 151
"253" "WN" "DAL" "HOU" 1 5 21 0.198675496688742 0.0728476821192053 0.00662251655629139 151
"254" "AA" "DFW" "ATL" 1 1 0 0.197802197802198 0.0604395604395604 0.0164835164835165 182
"255" "WN" "HOU" "DAL" 9 5 18 0.196428571428571 0.0714285714285714 0 168
"256" "UA" "LAX" "SFO" 8 5 17 0.196319018404908 0.0858895705521472 0.00613496932515337 163
"257" "UA" "LAX" "SFO" 8 4 10 0.19620253164557 0.0632911392405063 0 158
"258" "WN" "HOU" "DAL" 4 7 19 0.19620253164557 0.0759493670886076 0 158
"259" "WN" "DAL" "HOU" 8 5 17 0.195833333333333 0.075 0 240
"260" "WN" "DAL" "HOU" 7 4 18 0.195402298850575 0.0517241379310345 0 174
"261" "WN" "DAL" "HOU" 8 4 18 0.194594594594595 0.0864864864864865 0 185
"262" "WN" "DAL" "HOU" 11 7 18 0.194594594594595 0.0864864864864865 0.00540540540540541 185
"263" "UA" "SFO" "LAX" 1 1 18 0.19375 0.10625 0 160
"264" "WN" "HOU" "DAL" 5 7 19 0.193548387096774 0.0580645161290323 0.00645161290322581 155
"265" "AA" "DFW" "LAX" 12 6 0 0.193181818181818 0.0738636363636364 0.00568181818181818 176
"266" "WN" "DAL" "HOU" 1 4 18 0.193181818181818 0.0738636363636364 0.00568181818181818 176
"267" "WN" "HOU" "DAL" 7 5 18 0.192771084337349 0.0662650602409639 0 166
"268" "UA" "LAX" "SFO" 5 6 10 0.192546583850932 0.0683229813664596 0 161
"269" "WN" "DAL" "HOU" 8 4 21 0.192546583850932 0.0745341614906832 0.0124223602484472 161
"270" "NW" "DTW" "MSP" 6 1 15 0.192513368983957 0.0802139037433155 0.0053475935828877 187
"271" "WN" "HOU" "DAL" 6 3 16 0.192468619246862 0.0836820083682008 0.00418410041841004 239
"272" "AA" "BOS" "ORD" 1 5 0 0.192307692307692 0.0961538461538462 0.0128205128205128 156
